Course Code,Course Title,Prerequisite Code,Prerequisite Title,,,,,,,,,,,,,,,,,,
UNR1403,Academic English,-,None,,,,,,,,,,,,,,,,,,
UNR1302,Fundamentals of Business,-,None,,,,,,,,,,,,,,,,,,
UNRxxxx,University Req. Elective,-,None,,,,,,,,,,,,,,,,,,
EBA1203,Calculus I,-,None,,,,,,,,,,,,,,,,,,
EBA1110,Physics,-,None,,,,,,,,,,,,,,,,,,
CCS1101,Introduction to Computing,-,None,,,,,,,,,,,,,,,,,,
CIS1000,Introduction to Information Systems,-,None,,,,,,,,,,,,,,,,,,
EBA0201 *,Precalculus,-,None,,,,,,,,,,,,,,,,,,
GLA0001 *,Remedial English,-,None,,,,,,,,,,,,,,,,,,
UNR2101,Communication and Presentation Skills,UNR1403,Academic English,,,,,,,,,,,,,,,,,,
EBA1204,Calculus II,EBA1203,Calculus I,,,,,,,,,,,,,,,,,,
EBAxxxx,Science Elective,-,None,,,,,,,,,,,,,,,,,,
CCS1001,Discrete Structures,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,
CCS1302,Problem Solving and Programming,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,
CCS2102,Digital Logic Design,CCS1101,Introduction to Computing,,,,,,,,,,,,,,,,,,
CCS2103,Introduction to Computer Architecture,CCS1102,Digital Logic Design,,,,,,,,,,,,,,,,,,
CCS2303,Object-Oriented Programming,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,
EBA2204,Linear algebra,EBA1204,Calculus II,,,,,,,,,,,,,,,,,,
CCS2201,Introduction to Networks,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,
CIS2101,Database Systems,CCS1302,Problem Solving and Programming,,,,,,,,,,,,,,,,,,
EBA2203,Probability & Statistics,EBA1204,Calculus II,,,,,,,,,,,,,,,,,,
CCS2401,Data Structures and Algorithms,CCS2303,Object Oriented Programming,,,,,,,,,,,,,,,,,,
CSE2001,Introduction to Software Engineering,"CCS2303,CIS1000","Object Oriented Programming, Introduction to IS",,,,,,,,,,,,,,,,,,
CCS2304,Advanced Programming Applications,CCS2303,Object Oriented Programming,,,,,,,,,,,,,,,,,,
CCS2305,Web Programming,CIS2101,Database Systems,,,,,,,,,,,,,,,,,,
CCY2001,Introduction to Cybersecurity,CCS2201,Introduction to Networks,,,,,,,,,,,,,,,,,,
CNC1401,Entrepreneurship Skills,15 CR. or more,,,,,,,,,,,,,,,,,,,
UNR1407, Academic Writing,UNR1403,,,,,,,,,,,,,,,,,,,
CIT3200,Professional Training in Mobile Apps Programming,-,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training I,-,,,,,,,,,,,,,,,,,,,
CCY4901,Project I,90 CR. or more,,,,,,,,,,,,,,,,,,,
CCYxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,
CCYxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training II,-,,,,,,,,,,,,,,,,,,,
CCY4902,Project II,CCY4901,,,,,,,,,,,,,,,,,,,
CCYxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,
CCYxxxx,Major Elective,-,,,,,,,,,,,,,,,,,,,
CITxxxx,Professional Training III,-,,,,,,,,,,,,,,,,,,,
CCS3203,operating systems                       ,"CCS2103,CCS2401",,,,,,,,,,,,,,,,,,,
CAI3101,introduction to artificial intelligence ,"CCS1001,CCS2401",,,,,,,,,,,,,,,,,,,
CCY3501,cybersecurity law and ethics            ,CCY2001,,,,,,,,,,,,,,,,,,,
CCY3101,software security                       ,"CCY2001,CSE2001",,,,,,,,,,,,,,,,,,,
CCY3002,introduction to cryptography            ,"CCY2001,EBA2204",,,,,,,,,,,,,,,,,,,
CCY3003,digital forensics and incident response ,CCY2001,,,,,,,,,,,,,,,,,,,
CCS3403,computing algorithms                    ,CCS2401,,,,,,,,,,,,,,,,,,,
CCY3201,networks security                       ,CCY3002,,,,,,,,,,,,,,,,,,,
CCY3302,distributed systems security            ,"CCS3203,CCY2001",,,,,,,,,,,,,,,,,,,
CCY3102,malware analysis and reverse engineering,"CCY2001,CCS2103",,,,,,,,,,,,,,,,,,,
CCY4202,ethical hacking and penetration testing ,CCY3201,,,,,,,,,,,,,,,,,,,
CCY4301,cyber physical systems security         ,CCY3201,,,,,,,,,,,,,,,,,,,
CCY4401,cybersecurity risk management           ,CCY2001,,,,,,,,,,,,,,,,,,,
CCY4303,ai in cybersecurity                     ,"CCY2001,CAI3101",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
