Course Code,Course Title,Prerequisite Code,,
CCY4006,multimedia security                     ,CCY3002,,
CCY4305,advanced malware analysis and reverse en,CCY3102,,
CCY4204,advanced penetration testing            ,CCY4202,,
CCY4203,internet of things security             ,CCY3201,,
CCY4502,usable security                         ,CCY2001,,
CCY4004,advanced digital forensics              ,CCY3003,,
CCY4005,advanced cryptography                   ,CCY3002,,
CCY4402,cybersecurity policy and governance     ,CCY2001,,
CCY4205,wireless networks security              ,CCY3201,,
CCY4103,blockchain and applications             ,CCY3002,,
CCY4403,cyber threat intelligence               ,CCY3002,,
CCY4307,cloud computing security                ,"CCS3203,CCY2001",,
CCY4104,web security                            ,"CCS2305,CCY2001",,
CCY4304,operating systems security              ,"CCS3203,CCY2001",,
CCY4105,e-business security                     ,"CIS1000,CCY2001",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
